0.png:[[[(684, 410), (732, 417)], (712, 411)], [[(809, 428), (853, 427)], (827, 420)]]
344.png:[[[(570, 425), (605, 414)], (585, 414)], [[(680, 403), (729, 397)], (697, 394)]]
345.png:[[[(572, 418), (608, 413)], (592, 408)], [[(686, 406), (729, 399)], (702, 390)]]
346.png:[[[(591, 416), (638, 411)], (616, 404)], [[(707, 403), (752, 399)], (730, 393)]]
347.png:[[[(614, 413), (657, 411)], (638, 404)], [[(730, 407), (772, 406)], (753, 400)]]
348.png:[[[(599, 422), (644, 417)], (621, 413)], [[(716, 413), (762, 409)], (734, 406)]]
349.png:[[[(581, 425), (627, 423)], (604, 421)], [[(698, 413), (746, 408)], (716, 408)]]
35.png:[[[(607, 428), (650, 427)], (636, 426)], [[(723, 425), (770, 416)], (751, 416)]]
350.png:[[[(566, 423), (609, 422)], (583, 418)], [[(677, 413), (723, 399)], (692, 400)]]
351.png:[[[(562, 431), (604, 431)], (578, 426)], [[(671, 419), (720, 411)], (690, 410)]]
352.png:[[[(574, 441), (620, 438)], (598, 444)], [[(696, 429), (742, 424)], (723, 429)]]
353.png:[[[(598, 436), (647, 436)], (625, 436)], [[(722, 427), (762, 423)], (742, 422)]]
354.png:[[[(612, 433), (652, 433)], (638, 430)], [[(731, 426), (768, 420)], (754, 422)]]
355.png:[[[(593, 431), (639, 431)], (607, 429)], [[(712, 427), (757, 425)], (727, 419)]]
356.png:[[[(557, 437), (603, 433)], (572, 431)], [[(675, 425), (726, 418)], (694, 415)]]
357.png:[[[(542, 436), (588, 434)], (563, 429)], [[(654, 424), (706, 416)], (670, 415)]]
358.png:[[[(543, 436), (585, 433)], (559, 430)], [[(655, 421), (697, 410)], (666, 410)]]
359.png:[[[(554, 433), (597, 429)], (578, 425)], [[(668, 418), (716, 407)], (691, 406)]]
36.png:[[[(608, 432), (653, 432)], (637, 429)], [[(726, 429), (766, 422)], (752, 419)]]
360.png:[[[(565, 436), (608, 431)], (587, 426)], [[(681, 419), (728, 410)], (705, 406)]]
361.png:[[[(578, 436), (619, 432)], (602, 422)], [[(696, 418), (742, 412)], (714, 404)]]
362.png:[[[(575, 434), (624, 425)], (597, 422)], [[(694, 415), (736, 408)], (711, 406)]]
363.png:[[[(575, 428), (619, 426)], (597, 421)], [[(696, 415), (736, 407)], (714, 403)]]
364.png:[[[(574, 429), (619, 421)], (598, 417)], [[(690, 411), (737, 407)], (712, 402)]]
365.png:[[[(557, 432), (602, 428)], (580, 425)], [[(669, 417), (717, 410)], (693, 405)]]
366.png:[[[(557, 430), (597, 425)], (568, 427)], [[(670, 418), (719, 415)], (683, 412)]]
367.png:[[[(538, 433), (583, 429)], (551, 427)], [[(649, 419), (700, 410)], (664, 409)]]
368.png:[[[(539, 431), (578, 430)], (552, 429)], [[(647, 421), (697, 412)], (659, 410)]]
369.png:[[[(543, 432), (586, 433)], (557, 427)], [[(652, 419), (701, 414)], (662, 410)]]
37.png:[[[(598, 429), (640, 429)], (611, 427)], [[(714, 427), (759, 421)], (729, 420)]]
370.png:[[[(574, 433), (617, 428)], (602, 423)], [[(690, 421), (741, 416)], (718, 411)]]
371.png:[[[(596, 430), (641, 429)], (619, 426)], [[(712, 424), (754, 417)], (732, 414)]]
372.png:[[[(605, 433), (650, 431)], (624, 429)], [[(724, 427), (770, 423)], (741, 421)]]
373.png:[[[(581, 439), (628, 442)], (597, 437)], [[(703, 435), (753, 428)], (720, 428)]]
374.png:[[[(569, 445), (614, 444)], (589, 438)], [[(685, 437), (738, 433)], (705, 431)]]
375.png:[[[(569, 443), (620, 439)], (594, 440)], [[(697, 435), (747, 430)], (730, 430)]]
376.png:[[[(612, 440), (662, 438)], (643, 435)], [[(739, 431), (782, 425)], (764, 425)]]
377.png:[[[(627, 433), (682, 432)], (660, 432)], [[(753, 430), (793, 426)], (770, 420)]]
378.png:[[[(627, 432), (679, 433)], (660, 426)], [[(751, 432), (796, 427)], (770, 419)]]
379.png:[[[(622, 422), (670, 426)], (648, 415)], [[(742, 419), (783, 417)], (763, 407)]]
38.png:[[[(579, 435), (629, 433)], (612, 431)], [[(705, 423), (747, 416)], (729, 417)]]
380.png:[[[(600, 419), (650, 418)], (621, 412)], [[(722, 410), (762, 406)], (737, 400)]]
381.png:[[[(558, 422), (603, 416)], (575, 414)], [[(669, 406), (713, 399)], (682, 395)]]
382.png:[[[(529, 428), (562, 415)], (539, 413)], [[(630, 398), (672, 391)], (647, 386)]]
383.png:[[[(506, 438), (545, 421)], (524, 419)], [[(611, 400), (653, 390)], (628, 386)]]
384.png:[[[(535, 429), (578, 418)], (558, 416)], [[(646, 401), (687, 396)], (663, 393)]]
385.png:[[[(583, 418), (625, 414)], (604, 412)], [[(697, 406), (740, 403)], (715, 400)]]
386.png:[[[(642, 410), (696, 413)], (671, 413)], [[(763, 419), (804, 421)], (785, 419)]]
387.png:[[[(722, 421), (774, 433)], (762, 428)], [[(843, 446), (880, 456)], (867, 452)]]
388.png:[[[(764, 440), (818, 461)], (803, 453)], [[(880, 480), (913, 488)], (898, 482)]]
389.png:[[[(755, 448), (806, 468)], (783, 462)], [[(876, 484), (911, 495)], (896, 492)]]
39.png:[[[(577, 431), (627, 433)], (610, 430)], [[(699, 423), (749, 418)], (727, 418)]]
390.png:[[[(698, 452), (752, 461)], (724, 452)], [[(831, 472), (871, 472)], (842, 472)]]
391.png:[[[(656, 458), (713, 472)], (692, 462)], [[(793, 479), (837, 475)], (811, 474)]]
392.png:[[[(624, 461), (669, 475)], (648, 462)], [[(752, 469), (807, 467)], (766, 463)]]
393.png:[[[(582, 482), (622, 478)], (610, 478)], [[(708, 474), (755, 468)], (729, 467)]]
394.png:[[[(576, 491), (626, 490)], (605, 490)], [[(705, 484), (754, 478)], (727, 476)]]
395.png:[[[(586, 491), (634, 495)], (614, 487)], [[(725, 487), (769, 478)], (741, 478)]]
396.png:[[[(601, 507), (655, 521)], (629, 510)], [[(739, 514), (781, 502)], (756, 504)]]
397.png:[[[(602, 486), (648, 497)], (629, 486)], [[(740, 489), (780, 474)], (757, 475)]]
398.png:[[[(599, 464), (649, 470)], (624, 460)], [[(732, 466), (775, 457)], (751, 452)]]
399.png:[[[(598, 449), (651, 449)], (626, 443)], [[(737, 443), (781, 439)], (750, 436)]]
4.png:[[[(617, 430), (664, 429)], (643, 426)], [[(740, 426), (780, 421)], (758, 421)]]
40.png:[[[(585, 433), (636, 432)], (622, 430)], [[(710, 425), (758, 418)], (738, 418)]]
400.png:[[[(594, 400), (644, 396)], (618, 393)], [[(713, 390), (758, 389)], (732, 386)]]
401.png:[[[(599, 392), (644, 386)], (622, 385)], [[(714, 379), (757, 379)], (732, 376)]]
402.png:[[[(600, 380), (641, 373)], (623, 377)], [[(712, 368), (756, 371)], (732, 368)]]
403.png:[[[(603, 376), (639, 364)], (624, 370)], [[(711, 362), (748, 366)], (729, 364)]]
404.png:[[[(603, 379), (641, 366)], (625, 371)], [[(713, 366), (757, 369)], (735, 365)]]
405.png:[[[(600, 367), (641, 359)], (622, 348)], [[(710, 358), (748, 356)], (728, 346)]]
406.png:[[[(599, 367), (640, 360)], (618, 351)], [[(710, 355), (748, 358)], (725, 344)]]
407.png:[[[(599, 363), (644, 355)], (618, 348)], [[(709, 355), (747, 357)], (726, 344)]]
408.png:[[[(598, 364), (638, 358)], (617, 351)], [[(709, 357), (750, 358)], (730, 345)]]
409.png:[[[(587, 436), (637, 436)], (624, 435)], [[(715, 433), (760, 428)], (742, 428)]]
41.png:[[[(599, 425), (650, 424)], (637, 424)], [[(719, 421), (765, 417)], (751, 416)]]
410.png:[[[(608, 432), (657, 433)], (646, 427)], [[(738, 430), (788, 425)], (770, 422)]]
411.png:[[[(646, 426), (693, 424)], (683, 423)], [[(774, 427), (810, 424)], (799, 422)]]
412.png:[[[(670, 422), (723, 421)], (712, 417)], [[(793, 425), (836, 420)], (824, 419)]]
413.png:[[[(701, 418), (749, 417)], (742, 417)], [[(815, 424), (847, 421)], (838, 421)]]
414.png:[[[(709, 416), (761, 423)], (752, 419)], [[(818, 425), (850, 427)], (841, 424)]]
415.png:[[[(731, 421), (773, 423)], (766, 420)], [[(825, 429), (850, 428)], (846, 425)]]
416.png:[[[(739, 426), (785, 427)], (756, 423)], [[(833, 431), (854, 429)], (838, 429)]]
417.png:[[[(736, 425), (786, 429)], (755, 424)], [[(835, 429), (854, 429)], (838, 428)]]
418.png:[[[(737, 424), (787, 426)], (757, 424)], [[(833, 428), (859, 428)], (837, 425)]]
419.png:[[[(665, 420), (715, 424)], (688, 422)], [[(791, 426), (828, 426)], (800, 421)]]
42.png:[[[(605, 422), (656, 422)], (632, 418)], [[(735, 420), (773, 416)], (752, 411)]]
420.png:[[[(627, 425), (681, 426)], (657, 423)], [[(765, 428), (802, 428)], (777, 423)]]
421.png:[[[(617, 428), (669, 429)], (643, 425)], [[(744, 429), (785, 428)], (763, 423)]]
422.png:[[[(595, 432), (640, 431)], (618, 428)], [[(716, 429), (762, 427)], (741, 425)]]
423.png:[[[(569, 425), (612, 424)], (592, 425)], [[(689, 422), (733, 420)], (708, 420)]]
424.png:[[[(562, 424), (598, 422)], (578, 422)], [[(670, 423), (736, 418)], (703, 416)]]
425.png:[[[(533, 425), (561, 425)], (540, 420)], [[(617, 413), (663, 403)], (630, 403)]]
426.png:[[[(527, 428), (552, 426)], (534, 419)], [[(610, 411), (653, 400)], (619, 400)]]
427.png:[[[(522, 432), (540, 430)], (526, 426)], [[(600, 413), (639, 399)], (604, 404)]]
428.png:[[[(520, 438), (540, 432)], (521, 430)], [[(597, 415), (632, 403)], (601, 405)]]
429.png:[[[(519, 440), (539, 436)], (522, 432)], [[(597, 417), (631, 403)], (603, 405)]]
43.png:[[[(606, 428), (655, 426)], (627, 421)], [[(727, 420), (774, 419)], (743, 414)]]
430.png:[[[(516, 438), (542, 432)], (518, 430)], [[(595, 419), (637, 410)], (603, 410)]]
431.png:[[[(519, 439), (542, 435)], (519, 434)], [[(596, 418), (635, 405)], (602, 407)]]
432.png:[[[(519, 439), (541, 435)], (526, 432)], [[(594, 415), (635, 406)], (607, 406)]]
433.png:[[[(526, 433), (548, 428)], (541, 427)], [[(612, 412), (654, 402)], (630, 400)]]
434.png:[[[(528, 431), (554, 422)], (544, 424)], [[(615, 411), (656, 404)], (634, 402)]]
435.png:[[[(534, 426), (571, 426)], (558, 422)], [[(635, 414), (687, 405)], (660, 404)]]
436.png:[[[(553, 421), (594, 421)], (574, 417)], [[(661, 411), (714, 404)], (691, 402)]]
437.png:[[[(570, 421), (609, 422)], (592, 416)], [[(685, 411), (737, 405)], (712, 403)]]
438.png:[[[(581, 425), (629, 421)], (615, 418)], [[(700, 413), (745, 409)], (730, 406)]]
439.png:[[[(588, 425), (633, 425)], (616, 419)], [[(709, 416), (760, 409)], (737, 405)]]
44.png:[[[(593, 428), (642, 426)], (614, 422)], [[(724, 424), (767, 418)], (737, 414)]]
440.png:[[[(618, 399), (673, 399)], (654, 390)], [[(745, 395), (784, 395)], (770, 387)]]
441.png:[[[(630, 395), (679, 393)], (659, 384)], [[(749, 385), (792, 387)], (773, 380)]]
442.png:[[[(629, 387), (677, 384)], (659, 376)], [[(745, 375), (787, 381)], (771, 372)]]
443.png:[[[(633, 376), (675, 373)], (657, 368)], [[(745, 369), (786, 373)], (767, 366)]]
444.png:[[[(632, 364), (677, 361)], (660, 357)], [[(743, 359), (785, 365)], (770, 358)]]
445.png:[[[(637, 361), (673, 360)], (659, 355)], [[(740, 359), (783, 364)], (767, 355)]]
446.png:[[[(637, 363), (677, 363)], (659, 356)], [[(741, 361), (783, 367)], (766, 360)]]
447.png:[[[(631, 369), (679, 369)], (657, 364)], [[(742, 367), (780, 371)], (760, 363)]]
448.png:[[[(628, 374), (676, 368)], (649, 369)], [[(738, 366), (784, 371)], (755, 364)]]
449.png:[[[(629, 371), (672, 367)], (653, 368)], [[(743, 365), (786, 370)], (760, 364)]]
45.png:[[[(602, 426), (643, 428)], (631, 426)], [[(718, 422), (766, 417)], (752, 417)]]
450.png:[[[(629, 374), (672, 368)], (647, 368)], [[(740, 364), (780, 371)], (760, 367)]]
451.png:[[[(627, 376), (664, 368)], (646, 375)], [[(738, 366), (779, 375)], (757, 369)]]
452.png:[[[(621, 381), (666, 378)], (644, 381)], [[(733, 370), (773, 376)], (751, 376)]]
453.png:[[[(617, 388), (666, 381)], (640, 384)], [[(734, 378), (777, 382)], (751, 379)]]
454.png:[[[(613, 394), (662, 391)], (634, 389)], [[(729, 385), (775, 386)], (749, 384)]]
455.png:[[[(612, 402), (659, 397)], (633, 395)], [[(727, 390), (778, 394)], (750, 390)]]
456.png:[[[(607, 406), (651, 404)], (629, 402)], [[(725, 399), (773, 398)], (744, 394)]]
457.png:[[[(592, 418), (637, 415)], (617, 414)], [[(714, 406), (759, 405)], (735, 402)]]
458.png:[[[(582, 432), (628, 430)], (609, 426)], [[(703, 415), (741, 416)], (723, 414)]]
459.png:[[[(546, 445), (595, 439)], (569, 434)], [[(671, 423), (722, 414)], (691, 413)]]
46.png:[[[(597, 422), (643, 425)], (618, 421)], [[(721, 424), (765, 416)], (736, 411)]]
460.png:[[[(515, 425), (541, 420)], (526, 414)], [[(608, 399), (645, 386)], (619, 385)]]
461.png:[[[(514, 431), (542, 415)], (522, 415)], [[(600, 396), (644, 381)], (618, 385)]]
462.png:[[[(517, 430), (540, 413)], (524, 415)], [[(595, 397), (637, 379)], (612, 378)]]
463.png:[[[(514, 430), (540, 415)], (527, 414)], [[(598, 390), (638, 376)], (612, 376)]]
464.png:[[[(518, 431), (543, 416)], (529, 414)], [[(601, 393), (640, 380)], (618, 380)]]
465.png:[[[(520, 429), (553, 420)], (543, 416)], [[(610, 395), (653, 385)], (635, 386)]]
466.png:[[[(522, 428), (552, 420)], (539, 418)], [[(602, 398), (655, 387)], (632, 386)]]
467.png:[[[(525, 427), (552, 419)], (542, 419)], [[(614, 398), (649, 389)], (631, 391)]]
468.png:[[[(526, 435), (564, 424)], (545, 423)], [[(621, 407), (667, 391)], (638, 393)]]
469.png:[[[(532, 438), (571, 428)], (548, 429)], [[(633, 406), (679, 396)], (654, 403)]]
47.png:[[[(599, 423), (648, 424)], (636, 420)], [[(724, 419), (770, 417)], (753, 412)]]
470.png:[[[(537, 443), (572, 434)], (559, 439)], [[(637, 419), (683, 412)], (660, 415)]]
471.png:[[[(531, 449), (565, 444)], (551, 450)], [[(632, 426), (681, 415)], (654, 423)]]
472.png:[[[(488, 465), (512, 454)], (497, 461)], [[(574, 434), (621, 423)], (584, 428)]]
473.png:[[[(484, 464), (515, 457)], (498, 462)], [[(564, 444), (613, 424)], (576, 434)]]
474.png:[[[(486, 469), (505, 462)], (492, 466)], [[(562, 444), (608, 425)], (575, 434)]]
475.png:[[[(486, 470), (513, 457)], (492, 466)], [[(563, 439), (613, 422)], (574, 432)]]
476.png:[[[(485, 471), (509, 461)], (492, 467)], [[(565, 447), (605, 426)], (573, 437)]]
477.png:[[[(493, 470), (518, 464)], (507, 465)], [[(575, 437), (619, 424)], (602, 427)]]
478.png:[[[(506, 466), (534, 462)], (523, 458)], [[(596, 436), (642, 423)], (626, 427)]]
479.png:[[[(528, 458), (566, 456)], (545, 450)], [[(635, 433), (690, 416)], (659, 419)]]
48.png:[[[(601, 419), (654, 424)], (634, 419)], [[(724, 412), (771, 415)], (754, 408)]]
480.png:[[[(559, 444), (602, 439)], (576, 437)], [[(684, 425), (722, 414)], (698, 413)]]
481.png:[[[(580, 427), (634, 426)], (607, 426)], [[(712, 414), (760, 410)], (738, 414)]]
482.png:[[[(627, 418), (687, 415)], (674, 415)], [[(748, 413), (789, 411)], (773, 414)]]
483.png:[[[(642, 421), (692, 424)], (663, 419)], [[(762, 424), (800, 420)], (773, 418)]]
484.png:[[[(662, 422), (714, 422)], (679, 420)], [[(774, 430), (811, 420)], (787, 420)]]
485.png:[[[(696, 419), (750, 423)], (735, 427)], [[(806, 429), (832, 428)], (820, 428)]]
486.png:[[[(713, 420), (762, 427)], (753, 424)], [[(826, 432), (839, 435)], (834, 434)]]
487.png:[[[(582, 405), (632, 400)], (608, 400)], [[(704, 396), (751, 394)], (724, 392)]]
488.png:[[[(624, 395), (674, 395)], (646, 392)], [[(744, 393), (784, 393)], (758, 390)]]
489.png:[[[(658, 386), (700, 388)], (691, 386)], [[(769, 396), (802, 391)], (791, 390)]]
49.png:[[[(588, 429), (640, 430)], (614, 429)], [[(706, 424), (765, 418)], (735, 413)]]
490.png:[[[(673, 377), (723, 383)], (710, 375)], [[(784, 390), (817, 389)], (809, 388)]]
491.png:[[[(663, 370), (707, 374)], (688, 368)], [[(778, 379), (814, 381)], (797, 371)]]
492.png:[[[(599, 367), (649, 364)], (628, 357)], [[(718, 361), (762, 362)], (739, 352)]]
493.png:[[[(580, 372), (625, 362)], (600, 357)], [[(701, 358), (742, 355)], (714, 346)]]
494.png:[[[(565, 385), (606, 374)], (590, 380)], [[(676, 363), (721, 360)], (703, 360)]]
495.png:[[[(549, 402), (591, 384)], (577, 392)], [[(668, 364), (710, 362)], (687, 362)]]
496.png:[[[(547, 407), (582, 393)], (563, 400)], [[(654, 379), (704, 370)], (680, 370)]]
497.png:[[[(549, 404), (588, 396)], (568, 400)], [[(665, 380), (714, 376)], (689, 377)]]
498.png:[[[(576, 402), (623, 393)], (605, 395)], [[(705, 384), (750, 383)], (722, 382)]]
499.png:[[[(609, 401), (655, 397)], (629, 396)], [[(729, 393), (774, 390)], (747, 389)]]
5.png:[[[(644, 426), (692, 425)], (667, 425)], [[(763, 428), (815, 426)], (788, 422)]]
50.png:[[[(606, 428), (646, 428)], (630, 428)], [[(721, 422), (772, 421)], (751, 418)]]
500.png:[[[(721, 393), (762, 398)], (756, 395)], [[(816, 404), (840, 409)], (836, 406)]]
501.png:[[[(743, 396), (781, 406)], (780, 405)], [[(836, 412), (846, 413)], (846, 413)]]
502.png:[[[(745, 400), (778, 409)], (779, 409)], [[(839, 417), (848, 417)], (848, 417)]]
503.png:[[[(694, 402), (742, 410)], (723, 405)], [[(805, 417), (840, 418)], (823, 417)]]
504.png:[[[(607, 402), (656, 402)], (633, 401)], [[(738, 403), (781, 406)], (755, 403)]]
505.png:[[[(574, 407), (615, 403)], (587, 402)], [[(688, 403), (743, 397)], (708, 396)]]
506.png:[[[(542, 411), (585, 408)], (560, 407)], [[(659, 396), (708, 392)], (677, 391)]]
507.png:[[[(518, 416), (559, 411)], (540, 409)], [[(637, 393), (685, 389)], (653, 388)]]
508.png:[[[(537, 428), (581, 416)], (563, 425)], [[(666, 392), (711, 386)], (693, 396)]]
509.png:[[[(555, 421), (601, 414)], (581, 417)], [[(690, 396), (734, 386)], (711, 394)]]
51.png:[[[(601, 430), (645, 430)], (619, 427)], [[(725, 425), (770, 425)], (741, 421)]]
510.png:[[[(587, 414), (629, 411)], (607, 415)], [[(710, 394), (750, 387)], (731, 390)]]
511.png:[[[(627, 406), (685, 402)], (665, 401)], [[(752, 394), (787, 383)], (774, 383)]]
512.png:[[[(649, 399), (705, 396)], (695, 390)], [[(767, 388), (801, 383)], (792, 380)]]
513.png:[[[(666, 375), (717, 378)], (692, 371)], [[(779, 378), (807, 378)], (789, 367)]]
514.png:[[[(633, 369), (685, 373)], (657, 362)], [[(756, 371), (791, 374)], (767, 365)]]
515.png:[[[(595, 372), (639, 371)], (608, 367)], [[(723, 369), (764, 368)], (728, 361)]]
516.png:[[[(548, 375), (589, 371)], (571, 362)], [[(667, 359), (714, 355)], (688, 350)]]
517.png:[[[(573, 365), (613, 364)], (593, 355)], [[(688, 355), (731, 353)], (710, 344)]]
518.png:[[[(580, 371), (626, 368)], (601, 359)], [[(700, 359), (746, 361)], (721, 349)]]
519.png:[[[(605, 366), (653, 371)], (634, 361)], [[(727, 369), (771, 369)], (753, 360)]]
52.png:[[[(599, 430), (645, 430)], (623, 434)], [[(720, 426), (767, 422)], (745, 425)]]
520.png:[[[(632, 373), (679, 374)], (662, 368)], [[(749, 379), (788, 381)], (772, 374)]]
521.png:[[[(642, 380), (688, 379)], (671, 372)], [[(757, 386), (797, 390)], (780, 380)]]
522.png:[[[(620, 382), (669, 385)], (645, 379)], [[(748, 388), (784, 390)], (763, 381)]]
523.png:[[[(594, 388), (646, 388)], (620, 380)], [[(719, 387), (766, 387)], (742, 379)]]
524.png:[[[(577, 403), (619, 405)], (596, 401)], [[(694, 396), (745, 393)], (712, 390)]]
525.png:[[[(554, 414), (603, 412)], (576, 407)], [[(680, 404), (729, 400)], (702, 396)]]
526.png:[[[(560, 426), (607, 428)], (584, 426)], [[(687, 420), (737, 411)], (710, 412)]]
527.png:[[[(571, 442), (619, 440)], (605, 441)], [[(704, 433), (749, 428)], (729, 428)]]
528.png:[[[(586, 436), (635, 435)], (615, 436)], [[(717, 430), (762, 425)], (735, 428)]]
529.png:[[[(595, 427), (647, 428)], (622, 425)], [[(725, 426), (766, 418)], (742, 420)]]
53.png:[[[(599, 433), (646, 430)], (623, 431)], [[(723, 426), (769, 422)], (749, 424)]]
530.png:[[[(617, 417), (669, 419)], (654, 415)], [[(745, 418), (787, 409)], (772, 406)]]
531.png:[[[(614, 410), (666, 410)], (637, 400)], [[(743, 407), (786, 407)], (760, 398)]]
532.png:[[[(581, 398), (621, 399)], (594, 390)], [[(704, 398), (761, 398)], (718, 387)]]
533.png:[[[(548, 386), (591, 387)], (565, 378)], [[(669, 381), (722, 384)], (688, 375)]]
534.png:[[[(536, 386), (580, 384)], (553, 373)], [[(655, 375), (704, 373)], (673, 367)]]
535.png:[[[(531, 383), (576, 378)], (556, 370)], [[(647, 366), (699, 365)], (665, 359)]]
536.png:[[[(534, 384), (578, 379)], (555, 374)], [[(647, 371), (696, 365)], (667, 361)]]
537.png:[[[(549, 374), (592, 375)], (572, 366)], [[(668, 364), (713, 364)], (694, 356)]]
538.png:[[[(573, 366), (617, 363)], (597, 355)], [[(691, 356), (736, 356)], (714, 350)]]
539.png:[[[(588, 368), (641, 365)], (622, 358)], [[(713, 359), (755, 358)], (740, 353)]]
54.png:[[[(601, 430), (649, 429)], (631, 427)], [[(722, 425), (777, 422)], (754, 420)]]
540.png:[[[(608, 361), (663, 356)], (640, 350)], [[(730, 361), (772, 364)], (755, 354)]]
541.png:[[[(581, 375), (628, 374)], (599, 366)], [[(704, 366), (749, 367)], (718, 359)]]
542.png:[[[(553, 383), (597, 383)], (570, 376)], [[(677, 375), (727, 374)], (690, 367)]]
543.png:[[[(532, 391), (575, 391)], (552, 383)], [[(647, 381), (695, 378)], (665, 370)]]
544.png:[[[(563, 409), (616, 406)], (590, 405)], [[(689, 398), (739, 394)], (710, 390)]]
545.png:[[[(582, 416), (629, 416)], (613, 416)], [[(711, 410), (753, 401)], (729, 404)]]
546.png:[[[(594, 416), (646, 419)], (629, 419)], [[(729, 412), (777, 408)], (749, 411)]]
547.png:[[[(608, 422), (662, 421)], (642, 421)], [[(738, 417), (786, 409)], (759, 410)]]
548.png:[[[(595, 421), (650, 423)], (622, 417)], [[(730, 415), (773, 408)], (744, 408)]]
549.png:[[[(584, 423), (624, 423)], (607, 422)], [[(709, 418), (758, 413)], (729, 410)]]
55.png:[[[(594, 436), (647, 431)], (616, 431)], [[(724, 428), (764, 424)], (737, 423)]]
550.png:[[[(578, 431), (627, 428)], (608, 428)], [[(712, 419), (755, 415)], (733, 416)]]
551.png:[[[(529, 426), (576, 424)], (549, 422)], [[(652, 419), (706, 408)], (677, 407)]]
552.png:[[[(537, 435), (586, 435)], (558, 431)], [[(660, 418), (713, 410)], (683, 412)]]
553.png:[[[(544, 437), (598, 434)], (571, 441)], [[(678, 426), (723, 415)], (696, 419)]]
554.png:[[[(575, 435), (629, 431)], (602, 437)], [[(708, 426), (752, 419)], (732, 422)]]
555.png:[[[(585, 431), (638, 431)], (614, 433)], [[(716, 423), (766, 418)], (743, 421)]]
556.png:[[[(587, 426), (642, 424)], (616, 428)], [[(718, 419), (760, 412)], (743, 415)]]
557.png:[[[(546, 386), (594, 388)], (567, 380)], [[(667, 377), (720, 369)], (689, 365)]]
558.png:[[[(554, 382), (600, 378)], (577, 370)], [[(677, 368), (724, 364)], (696, 355)]]
559.png:[[[(574, 377), (625, 374)], (601, 364)], [[(695, 365), (740, 360)], (719, 351)]]
56.png:[[[(588, 436), (641, 435)], (608, 433)], [[(715, 430), (759, 424)], (729, 424)]]
560.png:[[[(573, 364), (625, 365)], (596, 358)], [[(698, 352), (744, 352)], (716, 344)]]
561.png:[[[(558, 366), (607, 358)], (575, 352)], [[(677, 350), (729, 351)], (694, 339)]]
562.png:[[[(537, 364), (580, 356)], (553, 352)], [[(652, 344), (701, 339)], (667, 335)]]
563.png:[[[(543, 361), (585, 350)], (561, 347)], [[(653, 339), (702, 335)], (674, 328)]]
564.png:[[[(544, 360), (596, 355)], (567, 346)], [[(664, 345), (709, 339)], (679, 330)]]
565.png:[[[(564, 366), (612, 362)], (585, 351)], [[(677, 351), (730, 351)], (706, 340)]]
566.png:[[[(574, 368), (624, 364)], (602, 360)], [[(699, 357), (739, 354)], (717, 351)]]
567.png:[[[(552, 376), (600, 374)], (576, 369)], [[(672, 368), (723, 365)], (697, 358)]]
568.png:[[[(550, 389), (597, 387)], (577, 380)], [[(671, 377), (723, 373)], (695, 368)]]
569.png:[[[(562, 400), (610, 399)], (588, 393)], [[(692, 391), (737, 388)], (712, 383)]]
57.png:[[[(595, 436), (638, 435)], (624, 434)], [[(708, 428), (763, 424)], (746, 424)]]
570.png:[[[(564, 410), (618, 411)], (594, 405)], [[(695, 403), (741, 394)], (720, 391)]]
571.png:[[[(564, 427), (614, 427)], (593, 423)], [[(698, 420), (743, 413)], (720, 411)]]
572.png:[[[(571, 433), (624, 434)], (601, 431)], [[(700, 427), (755, 417)], (733, 420)]]
573.png:[[[(578, 434), (630, 437)], (611, 436)], [[(711, 432), (759, 422)], (739, 422)]]
574.png:[[[(579, 434), (635, 435)], (611, 434)], [[(716, 433), (762, 422)], (733, 427)]]
575.png:[[[(556, 438), (610, 439)], (580, 439)], [[(686, 430), (739, 423)], (706, 426)]]
576.png:[[[(553, 438), (604, 435)], (590, 434)], [[(685, 427), (737, 417)], (713, 420)]]
577.png:[[[(601, 430), (654, 430)], (640, 430)], [[(732, 425), (772, 417)], (757, 416)]]
578.png:[[[(603, 426), (657, 426)], (642, 424)], [[(739, 419), (782, 409)], (765, 414)]]
579.png:[[[(592, 423), (639, 418)], (623, 417)], [[(721, 412), (764, 406)], (748, 410)]]
58.png:[[[(598, 432), (646, 434)], (633, 433)], [[(715, 429), (769, 423)], (747, 423)]]
580.png:[[[(571, 412), (628, 411)], (604, 411)], [[(706, 410), (757, 401)], (727, 399)]]
581.png:[[[(551, 396), (601, 395)], (571, 391)], [[(674, 392), (731, 389)], (697, 385)]]
582.png:[[[(529, 389), (583, 385)], (552, 379)], [[(657, 379), (713, 373)], (675, 367)]]
583.png:[[[(538, 374), (581, 363)], (555, 364)], [[(653, 357), (708, 352)], (673, 345)]]
584.png:[[[(594, 351), (640, 350)], (615, 346)], [[(709, 346), (753, 349)], (731, 342)]]
585.png:[[[(600, 351), (644, 353)], (622, 342)], [[(718, 351), (757, 354)], (731, 343)]]
587.png:[[[(534, 381), (584, 377)], (551, 370)], [[(649, 363), (707, 360)], (666, 356)]]
588.png:[[[(518, 390), (557, 382)], (534, 379)], [[(630, 368), (682, 360)], (646, 359)]]
589.png:[[[(517, 387), (555, 386)], (532, 379)], [[(626, 373), (678, 364)], (645, 364)]]
59.png:[[[(593, 434), (637, 433)], (613, 435)], [[(715, 427), (762, 427)], (739, 427)]]
590.png:[[[(532, 387), (571, 386)], (552, 378)], [[(650, 373), (701, 368)], (668, 364)]]
